timestamp,ipAddress,abuseConfidenceScore,countryCode,domain,totalReports,lastReportedAt
2026-05-21 08:37:06,69.5.169.14,100,DE,,0,2026-05-21T01:17:02+00:00
2026-05-21 08:37:06,92.191.96.70,100,ES,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,152.32.157.173,100,GB,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,152.52.15.214,100,IN,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,204.76.203.225,100,NL,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,150.107.38.99,100,US,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,43.230.5.42,100,ID,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,47.250.181.248,100,MY,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,117.83.83.235,100,CN,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,116.123.150.231,100,KR,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,54.201.195.254,100,US,,0,2026-05-21T01:17:01+00:00
2026-05-21 08:37:06,64.62.156.126,100,US,,0,2026-05-21T01:17:00+00:00
2026-05-21 08:37:06,64.89.162.27,100,NL,,0,2026-05-21T01:17:00+00:00
2026-05-21 08:37:06,85.217.140.37,100,FR,,0,2026-05-21T01:17:00+00:00
2026-05-21 08:37:06,194.88.98.106,100,DE,,0,2026-05-21T01:17:00+00:00
2026-05-21 08:37:06,222.99.48.59,100,KR,,0,2026-05-21T01:17:00+00:00
2026-05-21 08:37:06,45.56.83.247,100,US,,0,2026-05-21T01:17:00+00:00
2026-05-21 08:37:06,194.88.98.108,100,DE,,0,2026-05-21T01:17:00+00:00
2026-05-21 08:37:06,80.94.92.164,100,RO,,0,2026-05-21T01:16:59+00:00
2026-05-21 08:37:06,193.163.125.188,100,GB,,0,2026-05-21T01:16:59+00:00
2026-05-21 08:37:06,199.127.62.250,100,US,,0,2026-05-21T01:16:59+00:00
2026-05-21 08:37:06,20.253.217.230,100,US,,0,2026-05-21T01:16:59+00:00
2026-05-21 08:37:06,61.76.136.25,100,KR,,0,2026-05-21T01:16:59+00:00
2026-05-21 08:37:06,193.32.162.151,100,RO,,0,2026-05-21T01:16:59+00:00
2026-05-21 08:37:06,202.145.0.61,100,ID,,0,2026-05-21T01:16:59+00:00
2026-05-21 11:37:59,66.132.172.222,100,US,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,85.217.149.10,100,CA,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,149.54.62.66,100,AF,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,72.62.8.16,100,BR,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,45.148.10.157,100,NL,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,210.156.0.132,100,JP,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,4.206.92.183,100,CA,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,150.5.169.138,100,HK,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,3.235.91.146,100,US,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:37:59,179.176.210.17,100,BR,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:37:59,146.88.241.99,100,US,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:37:59,89.37.117.16,100,RO,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:37:59,102.23.122.235,100,ZM,,0,2026-05-21T04:17:00+00:00
